# Indian Food Composition Tables 2017
# T. Longvah, R. Ananthan, K. Bhaskarachary and K. Venkaiah
#
# Copyright  © 2017 by National Institute of Nutrition
# Indian Council of Medical Research
# Department of Health Research Ministry of Health and Family Welfare, Government of India
# Jamai Osmania (PO), Hyderabad – 500 007
# Telangana, India Phone: +91 40 27197334, Fax: +91 40 27000339, Email: nin@ap.nic.in
#
# COLUMN DESCRIPTIONS
# - Column Code
# - Column Name
# - Ten Factor
# - Topics
# - Tags
code,name,factor,tops,tags
code,Food Code,0,,id tag legend
name,Food Name,0,code,title label
scie,Scientific Name,0,name,binomial genus botanical
lang,Local Name,0,name,colloquial trivial country farmer popular
grup,Food Group,0,code,category class classification grouping type sort kind
regn,No. of Regions,0,code,number
# table 1
water,Moisture,-3,,total liquid steam vapour proximate
protcnt,Protein,0,,total essential macronutrient proximate
ash,Ash,0,,total metal oxide mineral inorganic element residue proximate
fatce,Total Fat,0,,triglyceride lipid blubber essential macronutrient
fibtg,Total Dietary Fiber,0,,fibre roughage bulk indigestible
fibins,Insoluble Dietary Fiber,0,fibtg,total fibre roughage bulk indigestible
fibsol,Soluble Dietary Fiber,0,fibtg,total fibre roughage bulk indigestible
choavldf,Carbohydrate,0,,total cho saccharide ose glucide hydrate carbon macronutrient proximate
enerc,Energy,0,,total atp calorie metabolism essential proximate
# table 2
thia,Thiamine (B1),3,vitb,thiamin aneurine vitamin b1 b 1 water soluble essential
ribf,Riboflavin (B2),3,vitb,vactochrome lactoflavin vitamin b2 b 2 water soluble g essential
nia,Niacin (B3),3,vitb,nicotinic acid nicotinamide bionic vitamin b3 b 3 pp water soluble essential white translucent crystalline crystal
pantac,Pantothenic acid (B5),3,vitb,pantothenate vitamin b5 b 5 water soluble essential yellow oil colorless crystalline crystal
vitb6c,Total B6,3,vitb,pn p5p pl plp pm pmp pa pyridoxine pyridoxal pyridoxamine pyridoxic acid pyritinol vitamer vitamin b6 b 6 water soluble essential
biot,Biotin (B7),3,vitb,biopeiderm vitamin b7 b 7 h coenzyme r water soluble essential white crystalline crystal needle
folsum,Total Folates (B9),3,vitb,pteroyl glutamic acid glutamate folic folacin vitamin b9 b 9 bc m water soluble essential
vitc,Total Ascorbic acid (C),3,vit,ascorbate water soluble vitamin c vitamin c essential
# table 3
retol,Retinol,3,vita,vitamin a1 vitamin-a 1 fat soluble essential
ergcal,Ergocalciferol (D2),6,vitd,calciferol viosterol vitamin d2 d 2 fat soluble essential
